Ticker,start_date,end_date,rows,unique_dates,missing_values,duplicate_ticker_date_rows,missing_dates_vs_nifty50,flag_more_than_5_consecutive_missing_days
APOLLOHOSP,2023-01-02,2024-12-31,491,491,0,0,0,No
AXISBANK,2023-01-02,2024-12-31,491,491,0,0,0,No
CIPLA,2023-01-02,2024-12-31,491,491,0,0,0,No
DIVISLAB,2023-01-02,2024-12-31,491,491,0,0,0,No
DRREDDY,2023-01-02,2024-12-31,491,491,0,0,0,No
HCLTECH,2023-01-02,2024-12-31,491,491,0,0,0,No
HDFCBANK,2023-01-02,2024-12-31,491,491,0,0,0,No
ICICIBANK,2023-01-02,2024-12-31,491,491,0,0,0,No
INFY,2023-01-02,2024-12-31,491,491,0,0,0,No
KOTAKBANK,2023-01-02,2024-12-31,491,491,0,0,0,No
NIFTY50,2023-01-02,2024-12-31,491,491,0,0,0,No
SBIN,2023-01-02,2024-12-31,491,491,0,0,0,No
SUNPHARMA,2023-01-02,2024-12-31,491,491,0,0,0,No
TCS,2023-01-02,2024-12-31,491,491,0,0,0,No
TECHM,2023-01-02,2024-12-31,491,491,0,0,0,No
WIPRO,2023-01-02,2024-12-31,491,491,0,0,0,No
